Station Name,Iso Code,Date,Hour,Minute,Air Temperature,Rain
Alex Muranda Livestock Development Centre,NA,10/7/2025,13,0,34.58,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,14,0,35.83,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,15,0,36.99,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,16,0,37.55,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,17,0,37.88,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,18,0,37.68,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,19,0,36.33,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,20,0,32.82,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,21,0,25.94,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,22,0,23.76,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,23,0,24.08,0
Alex Muranda Livestock Development Centre,NA,10/7/2025,24,0,23.53,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,1,0,23.17,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,2,0,20.6,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,3,0,21.97,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,4,0,24.32,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,5,0,24.19,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,6,0,23.67,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,7,0,23.19,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,8,0,22.79,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,9,0,24.63,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,10,0,27.22,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,11,0,29.57,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,12,0,32.1,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,13,0,33.81,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,14,0,35.12,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,15,0,35.95,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,16,0,36.24,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,17,0,36.37,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,18,0,35.42,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,19,0,34.14,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,20,0,31.19,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,21,0,27.21,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,22,0,24.77,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,23,0,22.68,0
Alex Muranda Livestock Development Centre,NA,10/8/2025,24,0,23.5,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,1,0,26.04,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,2,0,23.4,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,3,0,19.67,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,4,0,20,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,5,0,20.01,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,6,0,17.91,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,7,0,15.2,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,8,0,15.33,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,9,0,21.96,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,10,0,28.71,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,11,0,31.4,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,12,0,33.49,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,13,0,34.7,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,14,0,35.52,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,15,0,36.04,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,16,0,36.45,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,17,0,36.26,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,18,0,34.91,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,19,0,34.91,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,20,0,32.95,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,21,0,28.37,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,22,0,25.39,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,23,0,23.86,0
Alex Muranda Livestock Development Centre,NA,10/9/2025,24,0,23.3,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,1,0,22.42,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,2,0,21.34,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,3,0,21.09,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,4,0,21.43,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,5,0,20.99,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,6,0,20.46,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,7,0,22.13,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,8,0,22.24,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,9,0,24.38,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,10,0,28.31,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,11,0,30.76,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,12,0,32.69,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,13,0,34.44,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,14,0,35.29,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,15,0,35.22,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,16,0,34.71,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,17,0,34.33,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,18,0,34.59,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,19,0,33.89,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,20,0,31.3,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,21,0,29.71,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,22,0,27.81,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,23,0,24.02,0
Alex Muranda Livestock Development Centre,NA,10/10/2025,24,0,22.63,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,1,0,20.51,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,2,0,19.56,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,3,0,21.66,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,4,0,22.22,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,5,0,23.18,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,6,0,21.38,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,7,0,21.58,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,8,0,21.78,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,9,0,24.09,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,10,0,24.63,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,11,0,27.19,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,12,0,30.01,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,13,0,31.91,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,14,0,32.22,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,15,0,33.69,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,16,0,33.93,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,17,0,34.67,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,18,0,34.99,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,19,0,34.21,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,20,0,31.58,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,21,0,26.8,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,22,0,24.85,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,23,0,26.8,0
Alex Muranda Livestock Development Centre,NA,10/11/2025,24,0,27.92,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,1,0,28.02,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,2,0,28.33,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,5,0,23.62,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,6,0,22.83,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,7,0,21.79,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,8,0,22.34,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,9,0,23.32,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,10,0,25.13,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,11,0,28.94,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,12,0,31.44,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,13,0,32.9,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,14,0,34.21,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,15,0,34.65,0
