Station Name,Iso Code,Date,Hour,Minute,Rain
Alex Muranda Livestock Development Centre,NA,2023-11-14,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,17,0,1
Alex Muranda Livestock Development Centre,NA,2023-11-14,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,20,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-14,21,0,2
Alex Muranda Livestock Development Centre,NA,2023-11-14,22,0,0.6
Alex Muranda Livestock Development Centre,NA,2023-11-14,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-14,24,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-15,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,13,0,0.5
Alex Muranda Livestock Development Centre,NA,2023-11-15,14,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-15,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,19,0,2.6
Alex Muranda Livestock Development Centre,NA,2023-11-15,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-15,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,4,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-16,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,17,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-16,18,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-16,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-16,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,6,0,0.3
Alex Muranda Livestock Development Centre,NA,2023-11-17,7,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-17,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-17,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,4,0,0.5
Alex Muranda Livestock Development Centre,NA,2023-11-18,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-18,12,0,0
