Station Name,Iso Code,Station ID,Date,Hour,Minute,Air Temperature,Rain
Shakawe,BW,68026,12/2/2024,14,0,36.15,0
Shakawe,BW,68026,12/2/2024,14,15,35.77,0
Shakawe,BW,68026,12/2/2024,14,30,36.64,0
Shakawe,BW,68026,12/2/2024,14,45,36.51,0
Shakawe,BW,68026,12/2/2024,15,0,36.7,0
Shakawe,BW,68026,12/2/2024,15,15,36.08,0
Shakawe,BW,68026,12/2/2024,15,30,36.76,0
Shakawe,BW,68026,12/2/2024,15,45,37.47,0
Shakawe,BW,68026,12/2/2024,16,0,37.07,0
Shakawe,BW,68026,12/2/2024,16,15,37.15,0
Shakawe,BW,68026,12/2/2024,16,30,37.08,0
Shakawe,BW,68026,12/2/2024,16,45,36.81,0
Shakawe,BW,68026,12/2/2024,17,0,36.99,0
Shakawe,BW,68026,12/2/2024,17,15,36.74,0
Shakawe,BW,68026,12/2/2024,17,30,36.48,0
Shakawe,BW,68026,12/2/2024,17,45,36.16,0
Shakawe,BW,68026,12/2/2024,18,0,35.98,0
Shakawe,BW,68026,12/2/2024,18,15,34.97,0
Shakawe,BW,68026,12/2/2024,18,30,33.87,0
Shakawe,BW,68026,12/2/2024,18,45,33.04,0
Shakawe,BW,68026,12/2/2024,19,0,32.28,0
Shakawe,BW,68026,12/2/2024,19,15,31.05,0
Shakawe,BW,68026,12/2/2024,19,30,29.52,0
Shakawe,BW,68026,12/2/2024,19,45,28.49,0
Shakawe,BW,68026,12/2/2024,20,0,27.71,0
Shakawe,BW,68026,12/2/2024,20,15,26.92,0
Shakawe,BW,68026,12/2/2024,20,30,26.32,0
Shakawe,BW,68026,12/2/2024,20,45,26,0
Shakawe,BW,68026,12/2/2024,21,0,25.39,0
Shakawe,BW,68026,12/2/2024,21,15,24.93,0
Shakawe,BW,68026,12/2/2024,21,30,25.58,0
Shakawe,BW,68026,12/2/2024,21,45,24.36,0
Shakawe,BW,68026,12/2/2024,22,0,23.68,0
Shakawe,BW,68026,12/2/2024,22,15,23.32,0
Shakawe,BW,68026,12/2/2024,22,30,23.94,0
Shakawe,BW,68026,12/2/2024,22,45,25.06,0
Shakawe,BW,68026,12/2/2024,23,0,25.19,0
Shakawe,BW,68026,12/2/2024,23,15,27.07,0
Shakawe,BW,68026,12/2/2024,23,30,26.84,0
Shakawe,BW,68026,12/2/2024,23,45,26.38,0
Shakawe,BW,68026,12/2/2024,24,0,25.68,0
Shakawe,BW,68026,12/3/2024,0,15,24.88,0
Shakawe,BW,68026,12/3/2024,0,30,24.23,0
Shakawe,BW,68026,12/3/2024,0,45,24.05,0
Shakawe,BW,68026,12/3/2024,1,0,23.29,0
Shakawe,BW,68026,12/3/2024,1,15,22.02,0
Shakawe,BW,68026,12/3/2024,1,30,21.43,0
Shakawe,BW,68026,12/3/2024,1,45,20.79,0
Shakawe,BW,68026,12/3/2024,2,0,20.74,0
Shakawe,BW,68026,12/3/2024,2,15,20.18,0
Shakawe,BW,68026,12/3/2024,2,30,19.36,0
Shakawe,BW,68026,12/3/2024,2,45,20.43,0
Shakawe,BW,68026,12/3/2024,3,0,20.77,0
Shakawe,BW,68026,12/3/2024,3,15,20.35,0
Shakawe,BW,68026,12/3/2024,3,30,20.65,0
Shakawe,BW,68026,12/3/2024,3,45,20.19,0
Shakawe,BW,68026,12/3/2024,4,0,19.11,0
Shakawe,BW,68026,12/3/2024,4,15,18.24,0
Shakawe,BW,68026,12/3/2024,4,30,18.42,0
Shakawe,BW,68026,12/3/2024,4,45,18.93,0
Shakawe,BW,68026,12/3/2024,5,0,18.92,0
Shakawe,BW,68026,12/3/2024,5,15,18.97,0
Shakawe,BW,68026,12/3/2024,5,30,18.73,0
Shakawe,BW,68026,12/3/2024,5,45,19.41,0
Shakawe,BW,68026,12/3/2024,6,0,19.71,0
Shakawe,BW,68026,12/3/2024,6,15,20.24,0
Shakawe,BW,68026,12/3/2024,6,30,20.26,0
Shakawe,BW,68026,12/3/2024,6,45,20.4,0
Shakawe,BW,68026,12/3/2024,7,0,20.58,0
Shakawe,BW,68026,12/3/2024,7,15,21.49,0
Shakawe,BW,68026,12/3/2024,7,30,22.39,0
Shakawe,BW,68026,12/3/2024,7,45,23.36,0
Shakawe,BW,68026,12/3/2024,8,0,24.33,0
Shakawe,BW,68026,12/3/2024,8,15,25.25,0
Shakawe,BW,68026,12/3/2024,8,30,25.88,0
Shakawe,BW,68026,12/3/2024,8,45,27.45,0
Shakawe,BW,68026,12/3/2024,9,0,29,0
Shakawe,BW,68026,12/3/2024,9,15,30.38,0
Shakawe,BW,68026,12/3/2024,9,30,31.5,0
Shakawe,BW,68026,12/3/2024,9,45,32.5,0
Shakawe,BW,68026,12/3/2024,10,0,33.18,0
Shakawe,BW,68026,12/3/2024,10,15,33.76,0
Shakawe,BW,68026,12/3/2024,10,30,34.35,0
Shakawe,BW,68026,12/3/2024,10,45,34.8,0
Shakawe,BW,68026,12/3/2024,11,0,35.14,0
Shakawe,BW,68026,12/3/2024,11,15,35.36,0
Shakawe,BW,68026,12/3/2024,11,30,35.82,0
Shakawe,BW,68026,12/3/2024,11,45,35.83,0
Shakawe,BW,68026,12/3/2024,12,0,36.5,0
Shakawe,BW,68026,12/3/2024,12,15,36.38,0
Shakawe,BW,68026,12/3/2024,12,30,36.46,0
Shakawe,BW,68026,12/3/2024,12,45,36.9,0
Shakawe,BW,68026,12/3/2024,13,0,36.92,0
Shakawe,BW,68026,12/3/2024,13,15,37.23,0
Shakawe,BW,68026,12/3/2024,13,30,37.71,0
Shakawe,BW,68026,12/3/2024,13,45,37.86,0
Shakawe,BW,68026,12/3/2024,14,0,37.57,0
Shakawe,BW,68026,12/3/2024,14,15,37.78,0
Shakawe,BW,68026,12/3/2024,14,30,38.32,0
Shakawe,BW,68026,12/3/2024,14,45,37.97,0
Shakawe,BW,68026,12/3/2024,15,0,38.19,0
Shakawe,BW,68026,12/3/2024,15,15,38.37,0
